source_file	taxid
Acinetobacter_baumannii	470
Acinetobacter_pittii	48296
Campylobacter_coli	195
Campylobacter_jejuni	197
Citrobacter_freundii	546
Clostridioides_difficile	1496
Corynebacterium_striatum	43770
Enterobacter_cloacae	550
Enterobacter_hormaechei	158836
Enterococcus_faecium	1352
Escherichia_coli	562
Helicobacter_pylori	210
Klebsiella_aerogenes	548
Klebsiella_oxytoca	571
Klebsiella_pneumoniae	573
Klebsiella_quasipneumoniae	1463165
Listeria_monocytogenes	1639
Mycobacterium_africanum	1764
Mycobacterium_tuberculosis	1773
Mycoplasma_pneumoniae	2104
Neisseria_gonorrhoeae	485
Neisseria_meningitidis	487
Peptoclostridium_difficile	1496
Pseudomonas_aeruginosa	287
Salmonella_enterica	28901
Serratia_marcescens	615
Shigella_flexneri	623
Shigella_sonnei	624
Staphylococcus_argenteus	985002
Staphylococcus_aureus	1280
Staphylococcus_epidermidis	1282
Stenotrophomonas_maltophilia	40324
Streptococcus_agalactiae	1311
Streptococcus_pneumoniae	1313
Vibrio_cholerae	666
